"X.OTU.ID","F3D0","F3D1","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","Kingdom","phylum","class","order","family","genus"
"Otu1",502,350,3048,856,266,904,585,237,423,405,246,179,340,512,276,1329,754,772,264,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu10",20,124,63,206,77,55,15,22,32,199,53,92,309,404,215,588,474,570,65,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu100",10,0,3,0,0,0,0,0,0,5,6,6,0,6,16,14,13,9,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu101",3,4,36,21,16,12,3,2,2,2,1,1,1,1,1,5,1,8,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu102",3,7,7,4,8,2,2,16,9,5,1,0,1,0,3,1,5,10,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu103",1,0,2,0,2,3,4,11,14,6,2,3,4,3,3,0,11,16,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu104",0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,16,6,38,22,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu105",1,0,5,5,3,19,16,14,12,0,0,1,0,3,0,2,1,2,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu106",16,9,14,0,5,13,1,11,13,2,1,0,2,1,12,13,11,12,7,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu107",26,15,30,12,3,14,5,8,9,0,0,0,0,1,1,0,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu108",8,7,13,1,2,5,2,5,6,0,0,1,1,2,0,0,5,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu109",1,5,20,3,4,3,1,3,10,3,0,4,1,1,2,5,8,14,4,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu11",54,129,338,94,48,424,113,147,181,12,110,44,16,26,4,156,18,90,64,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus"
"Otu110",19,6,6,0,2,1,6,4,5,1,0,0,2,0,0,6,3,3,2,"Bacteria","Firmicutes","Clostridia","other","other","other"
"Otu111",5,3,8,0,1,4,0,4,8,1,1,1,3,1,1,7,5,5,2,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu112",19,5,10,1,8,3,1,3,7,3,0,1,2,1,10,6,5,3,3,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu113",0,0,0,0,0,0,0,0,0,0,3,8,3,17,1,11,9,3,1,"Bacteria","other","other","other","other","other"
"Otu114",8,3,1,1,0,1,0,0,2,2,0,0,8,6,5,2,4,13,8,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu115",4,9,10,1,3,3,1,4,5,0,1,2,0,3,3,4,4,7,2,"Bacteria","Firmicutes","other","other","other","other"
"Otu116",1,0,0,0,0,3,0,1,1,3,4,2,0,4,2,6,16,9,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu117",1,3,8,0,9,8,0,2,18,0,0,0,0,0,0,0,1,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu118",0,2,3,1,1,1,0,3,1,3,3,0,1,3,2,5,9,8,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu119",10,6,9,3,4,6,0,5,4,0,0,0,1,1,11,3,2,3,1,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","other"
"Otu12",81,0,17,24,33,1,2,6,1,104,51,39,115,117,36,315,280,181,30,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","other","other"
"Otu120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Luteovulum"
"Otu121",5,3,21,0,1,4,2,1,10,0,0,0,0,0,2,0,2,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","other"
"Otu122",5,5,9,0,6,10,0,8,5,1,3,1,0,2,15,23,6,10,10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetatifactor"
"Otu123",3,7,16,1,3,0,1,2,4,4,0,0,0,0,4,6,4,4,5,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
